Entity,Code,Day,Total confirmed deaths due to COVID-19,Total confirmed cases of COVID-19
Vietnam,VNM,2020-06-09,,332
Vietnam,VNM,2020-06-10,,332
Vietnam,VNM,2020-06-11,,332
Vietnam,VNM,2020-06-12,,333
Vietnam,VNM,2020-06-13,,334
Vietnam,VNM,2020-06-14,,334
Vietnam,VNM,2020-06-15,,334
Vietnam,VNM,2020-06-16,,334
Vietnam,VNM,2020-06-17,,335
Vietnam,VNM,2020-06-18,,342
Vietnam,VNM,2020-06-19,,349
Vietnam,VNM,2020-06-20,,349
Vietnam,VNM,2020-06-21,,349
Vietnam,VNM,2020-06-22,,349
Vietnam,VNM,2020-06-23,,349
Vietnam,VNM,2020-06-24,,352
Vietnam,VNM,2020-06-25,,352
Vietnam,VNM,2020-06-26,,353
Vietnam,VNM,2020-06-27,,355
Vietnam,VNM,2020-06-28,,355
Vietnam,VNM,2020-06-29,,355
Vietnam,VNM,2020-06-30,,355
Vietnam,VNM,2020-07-01,,355
Vietnam,VNM,2020-07-02,,355
Vietnam,VNM,2020-07-03,,355
Vietnam,VNM,2020-07-04,,355
Vietnam,VNM,2020-07-05,,355
Vietnam,VNM,2020-07-06,,369
Vietnam,VNM,2020-07-07,,369
Vietnam,VNM,2020-07-08,,369
Vietnam,VNM,2020-07-09,,369
Vietnam,VNM,2020-07-10,,370
Vietnam,VNM,2020-07-11,,370
Vietnam,VNM,2020-07-12,,372
Vietnam,VNM,2020-07-13,,373
Vietnam,VNM,2020-07-14,,373
Vietnam,VNM,2020-07-15,,381
Vietnam,VNM,2020-07-16,,381
Vietnam,VNM,2020-07-17,,382
Vietnam,VNM,2020-07-18,,382
Vietnam,VNM,2020-07-19,,383
Vietnam,VNM,2020-07-20,,384
Vietnam,VNM,2020-07-21,,401
Vietnam,VNM,2020-07-22,,408
Vietnam,VNM,2020-07-23,,412
Vietnam,VNM,2020-07-24,,415
Vietnam,VNM,2020-07-25,,417
Vietnam,VNM,2020-07-26,,420
Vietnam,VNM,2020-07-27,,431
Vietnam,VNM,2020-07-28,,446
Vietnam,VNM,2020-07-29,,459
Vietnam,VNM,2020-07-30,,509
